"","celex","year","month","delegation.ratio","constraint.ratio","discretion.index"
"505","31987L0054",1987,1,0.227272727272727,0,0.227272727272727
"506","31987L0055",1987,1,0,0,0
"507","31987L0056",1987,1,0.5,0,0.5
"508","31987R0005",1987,1,0,0,0
"509","31987R0029",1987,1,0,0,0
"510","31987R0032",1987,1,0,0,0
"511","31987R0033",1987,1,0,0,0
"512","31987R0034",1987,1,0,0,0
"513","31987R0035",1987,1,0,0,0
"514","31987R0055",1987,1,0.125,0,0.125
"515","31987R0056",1987,1,0.125,0,0.125
"516","31987R0062",1987,1,0,0,0
"517","31987R0063",1987,1,0,0,0
"518","31987R0073",1987,1,0,0,0
"519","31987R0089",1987,1,0,0.0833333333333333,0
"520","31987R0090",1987,1,0,0,0
"521","31987R0091",1987,1,0,0.0833333333333333,0
"522","31987R0107",1987,1,0,0,0
"523","31987R0124",1987,1,0,0,0
"524","31987R0128",1987,1,0,0,0
"525","31987R0138",1987,1,0,0,0
"526","31987R0139",1987,1,0,0,0
"527","31987R0140",1987,1,0,0,0
"528","31987R0151",1987,1,0,0,0
"529","31987R0152",1987,1,0,0,0
"530","31987R0155",1987,1,0,0,0
"531","31987R0156",1987,1,0,0,0
"532","31987R0163",1987,1,0,0,0
"533","31987R0164",1987,1,0,0,0
"534","31987R0165",1987,1,0,0,0
"535","31987R0166",1987,1,0,0,0
"536","31987R0167",1987,1,0,0,0
"537","31987R0168",1987,1,0.5,0,0.5
"538","31987R0169",1987,1,0,0.333333333333333,0
"539","31987R0173",1987,1,0,0,0
"540","31987R0174",1987,1,0,0.166666666666667,0
"541","31987R0175",1987,1,0,0,0
"542","31987R0176",1987,1,0,0,0
"543","31987R0181",1987,1,0,0,0
"544","31987R0204",1987,1,0,0,0
"545","31987R0209",1987,1,0,0,0
"546","31987R0218",1987,1,0,0,0
"547","31987R0219",1987,1,0,0,0
"548","31987R0220",1987,1,0,0,0
"549","31987R0229",1987,1,0,0,0
"550","31987R0230",1987,1,0,0,0
"551","31987R0231",1987,1,0,0,0
"552","31987R0232",1987,1,0,0,0
"553","31987R0237",1987,1,0,0,0
"554","31987R0238",1987,1,0,0,0
"555","31987R0240",1987,1,0,0,0
